Event_ID,Timestamp,Duration,Person_Count,Motion_Score,EIS,High_Threshold,Low_Threshold,Storage_Decision
1,2026-07-24 19:20:54,125.54,4,67029,5.08,5.08,5.08,Keep Original
2,2026-07-24 19:21:51,29.84,2,5366,1.41,5.08,3.25,Delete
3,2026-07-24 19:22:07,6.99,1,772,0.63,4.32,2.38,Delete
4,2026-07-24 19:22:17,9.23,1,1402,0.66,3.78,1.95,Delete
5,2026-07-24 19:22:22,4.09,1,27933,1.72,3.55,1.9,Delete
6,2026-07-24 19:22:24,2.28,1,18324,1.33,3.32,1.81,Delete
7,2026-07-24 19:29:49,102.85,2,166761,7.87,7.87,7.87,Keep Original
8,2026-07-24 19:34:33,51.22,1,149519,6.58,6.58,6.58,Delete
9,2026-07-24 19:34:53,14.45,1,130262,5.81,6.58,6.2,Delete
10,2026-07-24 19:36:34,26.28,2,43236,2.93,2.93,2.93,Keep Original
11,2026-07-24 19:36:50,13.38,1,16315,1.25,2.93,2.09,Delete
12,2026-07-24 19:37:07,15.57,1,84479,3.98,3.84,2.72,Keep Original
13,2026-07-24 19:37:34,25.42,2,45330,3.01,3.77,2.79,Compress
14,2026-07-25 07:16:30,48.06,1,58513,2.94,2.94,2.94,Delete
15,2026-07-25 07:16:56,22.83,2,40293,2.81,2.94,2.88,Delete
16,2026-07-25 10:48:31,35.65,2,134649,6.59,6.59,6.59,Delete
17,2026-07-25 10:48:33,1.05,1,133637,5.95,6.59,6.27,Delete
18,2026-07-25 10:48:47,9.12,2,305965,13.44,12.05,8.66,Keep Original
